challenge,algo,track,nonce,quality,empty
vector_search,autovector_v12,n_queries=7000,0,72251,0
vector_search,autovector_v12,n_queries=7000,1,71480,0
vector_search,autovector_v12,n_queries=7000,2,71817,0
vector_search,autovector_v12,n_queries=7000,4,70922,0
neuralnet_optimizer,neural_advanced_v4,n_hidden=4,0,671128,0
neuralnet_optimizer,neural_advanced_v4,n_hidden=4,1,794289,0
neuralnet_optimizer,neural_advanced_v4,n_hidden=4,2,826625,0
neuralnet_optimizer,neural_advanced_v4,n_hidden=4,3,770871,0
neuralnet_optimizer,neural_advanced_v4,n_hidden=4,4,823155,0
energy_arbitrage,mpc_v1,s=baseline,0,1588073,0
energy_arbitrage,mpc_v1,s=baseline,1,481875,0
energy_arbitrage,mpc_v1,s=baseline,2,332985,0
energy_arbitrage,mpc_v1,s=baseline,3,2046071,0
energy_arbitrage,mpc_v1,s=baseline,4,1149330,0
energy_arbitrage,mpc_v1,s=congested,0,3380808,0
energy_arbitrage,mpc_v1,s=congested,1,1793896,0
energy_arbitrage,mpc_v1,s=congested,2,4913245,0
energy_arbitrage,mpc_v1,s=congested,3,2911551,0
energy_arbitrage,mpc_v1,s=congested,4,2526847,0
energy_arbitrage,mpc_v1,s=multiday,0,3986764,0
energy_arbitrage,mpc_v1,s=multiday,1,10000000,0
energy_arbitrage,mpc_v1,s=multiday,2,1906495,0
energy_arbitrage,mpc_v1,s=multiday,3,2282777,0
energy_arbitrage,mpc_v1,s=multiday,4,4402175,0
energy_arbitrage,mpc_v1,s=dense,0,7939122,0
energy_arbitrage,mpc_v1,s=dense,1,4421304,0
energy_arbitrage,mpc_v1,s=dense,2,10000000,0
energy_arbitrage,mpc_v1,s=dense,3,6575599,0
energy_arbitrage,mpc_v1,s=dense,4,10000000,0
energy_arbitrage,mpc_v1,s=capstone,0,7136439,0
energy_arbitrage,mpc_v1,s=capstone,1,10000000,0
energy_arbitrage,mpc_v1,s=capstone,2,10000000,0
energy_arbitrage,mpc_v1,s=capstone,3,8529431,0
energy_arbitrage,mpc_v1,s=capstone,4,7280370,0
hypergraph,sigma_freud_v6,n_h_edges=10000,0,247269,0
hypergraph,sigma_freud_v6,n_h_edges=10000,1,248497,0
hypergraph,sigma_freud_v6,n_h_edges=10000,2,247085,0
hypergraph,sigma_freud_v6,n_h_edges=10000,4,252929,0
energy_arbitrage,mpc_v1,s=baseline,0,1588073,0
energy_arbitrage,mpc_v1,s=baseline,1,481875,0
energy_arbitrage,mpc_v1,s=baseline,2,332985,0
energy_arbitrage,mpc_v1,s=baseline,3,2046071,0
energy_arbitrage,mpc_v1,s=baseline,4,1149330,0
energy_arbitrage,mpc_v1,s=baseline,0,1588073,0
energy_arbitrage,mpc_v1,s=baseline,1,481875,0
energy_arbitrage,mpc_v1,s=baseline,2,332985,0
energy_arbitrage,mpc_v1,s=baseline,3,2046071,0
energy_arbitrage,mpc_v1,s=baseline,4,1149330,0
energy_arbitrage,mpc_v1,s=baseline,5,210890,0
energy_arbitrage,mpc_v1,s=baseline,6,500995,0
energy_arbitrage,mpc_v1,s=baseline,7,180150,0
energy_arbitrage,mpc_v1,s=baseline,8,451546,0
energy_arbitrage,mpc_v1,s=baseline,9,3424062,0
energy_arbitrage,mpc_v1,s=baseline,10,200241,0
energy_arbitrage,mpc_v1,s=baseline,11,503451,0
energy_arbitrage,mpc_v1,s=baseline,12,778622,0
energy_arbitrage,mpc_v1,s=baseline,13,82044,0
energy_arbitrage,mpc_v1,s=baseline,14,3051924,0
energy_arbitrage,mpc_v1,s=baseline,15,357113,0
